"ID","site","width","length","l_w_index","area","percent_area","contour_length","area_contour_ratio","position_longest_extend","position_widest_extend","length_lower_part","relative_length_lower_part","length_upper_part","relative_length_upper_part","upper_to_lower_ratio","width_left_part","relative_width_left_part","width_right_part","relative_width_right_part","left_to_right_ratio","tip_angle","MP_CM_x_offset","MP_CM_y_offset","FD"
"GrubKranawetberg_02_08","GrubKranawetberg",4,18,4.5,68,76,42,161,5,3,9.6,53,9,50,0.9,3.8,93,1,25,3.8,66,0.1,0.1,1.93761309022189
"GrubKranawetberg_02_09","GrubKranawetberg",3,22,7.3,62,73,51,121,5,3,12.1,55,10.4,47,0.9,3,100,0.6,20,4.8,53,0.1,0.1,1.99497036014015
"GrubKranawetberg_03_01","GrubKranawetberg",4,25,6.2,99,67,59,167,3,2,6.3,25,18.7,74,2.9,2.6,64,2.3,57,1.1,37,-0.2,-0.9,1.97977175625522
"GrubKranawetberg_03_02","GrubKranawetberg",4,24,6,95,74,55,172,2,3,11.5,47,12.7,52,1.1,1.3,33,3.4,85,0.4,56,-0.2,-0.1,1.95712964032519
"GrubKranawetberg_03_03","GrubKranawetberg",3,20,6.7,53,72,45,117,3,3,9.6,48,11,54,1.1,1.5,48,1.8,60,0.8,42,-0.1,-0.5,1.89083550247147
"GrubKranawetberg_03_04","GrubKranawetberg",5,26,5.2,107,72,60,178,4,3,12.7,48,13.5,52,1.1,4.4,87,0.9,17,5.1,54,0.1,-0.1,1.9687723317406
"GrubKranawetberg_03_05","GrubKranawetberg",4,18,4.5,60,56,44,136,3,3,9.1,50,9.4,52,1,2.7,67,1.7,42,1.6,52,-0.1,-0.2,1.94865206229536
"GrubKranawetberg_03_06","GrubKranawetberg",4,22,5.5,84,74,50,168,4,2,6.5,29,15.7,71,2.4,3.4,85,1.3,33,2.5,42,0,-0.7,1.9492417134347
"GrubKranawetberg_04_01","GrubKranawetberg",4,20,5,57,64,46,123,4,3,8.4,42,11.9,59,1.4,2.8,70,1.2,30,2.3,32,0.2,-0.5,1.87256448817667
"GrubKranawetberg_04_02","GrubKranawetberg",6,23,3.8,112,72,55,203,2,3,13.9,60,9.8,42,0.7,2.1,35,4,67,0.5,67,-0.4,-0.2,1.92822106310332
"GrubKranawetberg_04_03","GrubKranawetberg",6,26,4.3,127,71,63,201,2,3,14.2,54,12.6,48,0.9,1.8,29,4.6,76,0.4,58,-0.4,-0.2,1.92769197560861
"GrubKranawetberg_04_04","GrubKranawetberg",5,20,4,88,83,51,172,5,3,8.9,44,11.8,58,1.3,4,80,1.2,24,3.3,67,0.4,0.2,1.89686731174651
"GrubKranawetberg_04_05","GrubKranawetberg",3,21,7,64,70,48,133,2,2,8.2,39,13.2,62,1.6,1.1,35,2.6,87,0.4,45,-0.2,-0.2,1.8732479909564
"GrubKranawetberg_04_06","GrubKranawetberg",5,22,4.4,97,68,53,183,3,2,7.7,35,15.3,69,2,2.5,49,3.2,63,0.8,50,-0.2,-0.4,1.92437611339051
"GrubKranawetberg_04_07","GrubKranawetberg",5,27,5.4,115,74,65,176,4,3,13.2,48,14.4,53,1.1,3.9,77,1.4,28,2.8,49,0,-0.4,1.90913848749239
"GrubKranawetberg_04_08","GrubKranawetberg",3,30,10,82,64,65,126,4,4,18.2,60,11.8,39,0.6,2.6,87,0.9,29,3,44,-0.2,0.4,1.95595253597043
"GrubKranawetberg_04_09","GrubKranawetberg",5,40,8,180,76,90,200,4,2,8.2,20,31.8,79,3.9,3.9,77,1.9,38,2,25,0,-1.6,2.00008886549285
"GrubKranawetberg_04_10","GrubKranawetberg",5,25,5,105,67,59,177,3,3,10.9,43,15.1,60,1.4,2.6,52,2.8,56,0.9,48,0,-0.7,1.91563125679177
"GrubKranawetberg_04_11","GrubKranawetberg",6,25,4.2,141,78,60,235,4,3,11.8,47,13.7,54,1.2,4.9,81,1.9,32,2.5,70,-0.2,0,1.93966826140808
"GrubKranawetberg_04_12","GrubKranawetberg",3,27,9,80,69,62,129,4,3,14,51,13.3,49,1,2.6,87,1.2,40,2.1,43,0,0.2,1.96371781815629
"GrubKranawetberg_04_13","GrubKranawetberg",5,21,4.2,83,65,51,162,3,3,10.2,48,10.9,51,1.1,3,59,2.3,45,1.3,64,0,-0.4,1.89469340236671
"GrubKranawetberg_04_14","GrubKranawetberg",6,28,4.7,139,65,66,210,2,3,12.6,45,16.1,57,1.3,1.4,23,5.3,87,0.3,51,-0.5,0.2,1.95189284223769
"GrubKranawetberg_04_15","GrubKranawetberg",6,30,5,145,72,68,213,4,3,14.7,49,15.3,50,1,4.9,81,1.4,23,3.5,57,0,-0.2,1.94104689727049
"GrubKranawetberg_04_16","GrubKranawetberg",5,28,5.6,111,70,65,170,3,3,11.2,40,16.8,60,1.5,3,59,2.5,49,1.2,36,0,-0.7,1.91114785883545
"GrubKranawetberg_04_17","GrubKranawetberg",3,26,8.7,74,70,61,121,2,3,14.6,56,11.8,45,0.8,0.9,29,2.8,93,0.3,46,-0.2,-0.2,1.95680782656194
"GrubKranawetberg_04_18","GrubKranawetberg",4,27,6.8,90,71,61,147,4,2,7,25,20.7,76,3,3,74,1.1,26,2.8,33,-0.2,-0.5,1.87606985921107
"GrubKranawetberg_04_19","GrubKranawetberg",4,27,6.8,113,72,62,182,2,3,13.7,50,13.3,49,1,0.9,21,4,100,0.2,61,-0.4,0,1.91906256981606
"GrubKranawetberg_04_20","GrubKranawetberg",3,22,7.3,62,69,50,124,5,3,11.1,50,11.2,51,1,3.2,105,0.5,17,6,42,0,-0.2,1.86410056842768
"GrubKranawetberg_04_21","GrubKranawetberg",4,23,5.8,87,72,54,161,3,2,8.6,37,15.1,65,1.8,2.6,65,2.1,52,1.2,48,0,-0.4,1.90010557463573
"GrubKranawetberg_04_22","GrubKranawetberg",6,36,6,177,76,82,215,4,2,10.2,28,26.7,74,2.6,4.4,73,1.8,29,2.5,36,0,-0.4,2.01229049754833
"GrubKranawetberg_04_23","GrubKranawetberg",4,24,6,84,62,53,158,3,3,12.5,51,11.6,48,0.9,1.9,48,3,74,0.6,47,-0.4,0,1.90709242876234
"GrubKranawetberg_04_24","GrubKranawetberg",3,21,7,62,71,48,129,4,3,11.4,54,10,47,0.9,2.5,81,1.2,40,2,49,0,0.2,1.86615931053326
"GrubKranawetberg_04_25","GrubKranawetberg",8,27,3.4,143,62,64,223,4,2,7.5,27,19.6,72,2.6,5.4,67,2.6,32,2.1,40,0.4,-0.9,1.95250014911146
"GrubKranawetberg_04_26","GrubKranawetberg",5,22,4.4,102,76,53,192,4,3,9.3,42,13.7,62,1.5,4.2,84,1.6,31,2.7,58,0.2,-0.2,1.91618857065873
"GrubKranawetberg_04_27","GrubKranawetberg",5,26,5.2,100,70,60,166,4,3,13.2,50,13.7,52,1,3.9,77,1.4,28,2.8,46,0.4,0,1.90237966686735
"GrubKranawetberg_05_01","GrubKranawetberg",5,24,4.8,102,72,56,182,5,2,7,29,17.7,73,2.5,4.4,88,1,19,4.5,41,0.2,-0.7,1.96833621336933
"GrubKranawetberg_05_02","GrubKranawetberg",6,24,4,108,67,56,192,1,2,9.4,39,15.3,63,1.6,0.9,14,5.4,90,0.2,46,-0.9,-0.6,1.98710246221852
"GrubKranawetberg_05_03","GrubKranawetberg",3,17,5.7,45,69,40,112,3,3,9,53,8.8,51,1,1.9,61,1.6,53,1.2,49,0,0.1,1.89884600152261
"GrubKranawetberg_05_04","GrubKranawetberg",4,21,5.2,76,76,48,158,2,3,9.1,43,12.5,59,1.4,1.5,37,3.1,77,0.5,56,-0.2,0.2,1.93175737992342
"GrubKranawetberg_05_05","GrubKranawetberg",5,24,4.8,104,68,58,179,4,3,12.6,52,12.3,51,1,4.1,81,1.9,37,2.2,54,0,0,1.98421493244582
"GrubKranawetberg_05_06","GrubKranawetberg",5,18,3.6,66,67,42,157,2,2,5.9,32,12.5,69,2.1,2,39,3.2,64,0.6,43,-0.2,-0.6,1.9584543054124
"GrubKranawetberg_05_07","GrubKranawetberg",10,30,3,209,66,73,286,1,3,15.7,52,14.4,48,0.9,1.6,16,8.4,83,0.2,57,-1.2,-0.5,1.90339362778949
"GrubKranawetberg_05_08","GrubKranawetberg",4,22,5.5,74,68,51,145,3,3,11.2,51,11.1,50,1,2.2,55,2.3,58,0.9,48,-0.1,-0.1,1.94012230561235
"GrubKranawetberg_05_09","GrubKranawetberg",5,19,3.8,80,68,46,173,3,3,8,42,11.4,59,1.4,3.1,61,2.8,56,1.1,58,0,0,1.95561376809954
"GrubKranawetberg_05_10","GrubKranawetberg",5,19,3.8,84,66,46,182,3,3,8.5,44,11.1,58,1.3,2.5,49,3.3,66,0.7,64,-0.1,-0.1,1.9660391896157
"GrubKranawetberg_05_11","GrubKranawetberg",4,19,4.8,65,73,44,147,3,3,7.8,40,11.6,61,1.5,2.5,61,2,49,1.2,51,0,-0.2,1.92836929901556
"GrubKranawetberg_05_12","GrubKranawetberg",4,23,5.8,88,70,54,162,2,3,11.7,50,12.2,53,1,1.5,37,3.2,80,0.5,54,-0.4,-0.1,1.95354770944596
"GrubKranawetberg_06_01","GrubKranawetberg",7,40,5.7,188,63,91,206,2,2,13.5,33,27.4,68,2,2.5,35,4.6,65,0.5,30,-0.4,-0.9,2.04199058169249
"GrubKranawetberg_06_02","GrubKranawetberg",4,32,8,126,73,75,168,4,3,14.6,45,18.2,57,1.3,3,74,1.9,48,1.5,48,-0.2,0,1.97791584558189
"GrubKranawetberg_06_03","GrubKranawetberg",5,30,6,114,71,69,165,3,2,11.8,39,18.2,60,1.6,2.6,52,2.5,49,1.1,39,-0.2,0,1.8951478170212
"GrubKranawetberg_06_04","GrubKranawetberg",5,25,5,107,73,57,187,4,2,7,28,18.1,72,2.6,4.4,87,1.2,24,3.6,46,0.2,-0.4,1.90977338351974
"GrubKranawetberg_06_05","GrubKranawetberg",3,18,6,51,68,43,118,4,3,10.4,57,8.4,46,0.8,2.3,76,1.6,52,1.4,48,-0.2,0.2,1.85387444823856
"GrubKranawetberg_06_06","GrubKranawetberg",6,35,5.8,174,65,79,220,2,3,17.7,50,18.2,52,1,1.1,17,5.4,90,0.2,40,-0.5,-0.2,1.95077011255485
"GrubKranawetberg_06_07","GrubKranawetberg",3,17,5.7,44,64,40,110,4,3,9.5,55,7.5,44,0.8,2.8,93,1.1,35,2.7,53,0.2,0.2,2.04873832485443
"GrubKranawetberg_06_08","GrubKranawetberg",3,18,6,47,67,41,114,4,3,9.3,51,9.6,53,1,2.3,76,1.1,35,2.2,45,0,-0.2,1.92395947486978
"GrubKranawetberg_06_09","GrubKranawetberg",5,24,4.8,105,72,57,184,4,3,10,41,14.9,62,1.5,4,80,1.4,28,2.9,49,0,-0.2,1.91312810730201
"GrubKranawetberg_06_10","GrubKranawetberg",3,21,7,48,60,47,102,3,3,10.7,50,10.5,50,1,1.2,40,1.9,64,0.6,37,-0.2,0,1.85246597560529
"GrubKranawetberg_06_11","GrubKranawetberg",5,22,4.4,91,66,52,175,4,3,12.3,55,10.5,47,0.9,4.2,84,1.2,24,3.4,55,0.2,-0.2,1.9213765312672
"GrubKranawetberg_06_12","GrubKranawetberg",7,31,4.4,168,68,73,230,4,3,15.4,49,16.1,52,1,4.6,65,3,42,1.5,48,0,-0.4,1.95690498618621
"GrubKranawetberg_06_13","GrubKranawetberg",11,33,3,284,70,84,338,3,2,11.8,35,22.1,66,1.9,5.4,49,6.1,55,0.9,57,-0.2,-1.4,2.01126557549247
"GrubKranawetberg_06_14","GrubKranawetberg",5,28,5.6,115,71,65,176,4,3,14,50,14.4,51,1,4,80,1.4,28,2.9,45,0,-0.2,1.91032931594065
"GrubKranawetberg_06_15","GrubKranawetberg",6,40,6.7,179,68,88,203,3,4,24.2,60,16,39,0.7,3,49,3.2,52,0.9,50,0,0.7,2.01880921759279
"GrubKranawetberg_06_16","GrubKranawetberg",8,22,2.8,130,59,56,232,3,2,8.4,38,14.2,64,1.7,5.1,63,3.9,48,1.3,62,0.2,-0.5,1.9804880019149
"GrubKranawetberg_06_17","GrubKranawetberg",4,21,5.2,75,67,48,156,4,3,9.5,45,11.6,55,1.2,3.2,78,1.6,39,2,50,0.2,-0.4,1.90015186850595
"JarosovPodvrsta_01_01","JarosovPodvrsta",5,34,6.8,137,78,75,182,4,3,20.3,59,14,41,0.7,3.5,69,1.6,32,2.2,51,0.2,0.1,1.94590767996416
"JarosovPodvrsta_01_02","JarosovPodvrsta",5,27,5.4,111,70,61,181,3,2,9.5,35,17.5,64,1.8,2.6,52,3.2,64,0.8,40,0.1,-0.9,1.89003632503085
"JarosovPodvrsta_01_03","JarosovPodvrsta",3,18,6,47,76,41,114,3,3,9.6,53,9.2,51,1,1.6,53,1.7,56,1,58,-0.2,0.2,2.03171709964288
"JarosovPodvrsta_01_04","JarosovPodvrsta",3,20,6.7,55,73,45,122,3,4,14.7,73,5.4,27,0.4,1.9,64,1.8,59,1.1,60,-0.1,0,1.90252246808733
"KremsWachtberg_01_01","KremsWachtberg",6,28,4.7,144,83,69,208,3,3,15.8,56,12.7,45,0.8,3.3,55,2.9,48,1.1,74,0.1,0.1,1.99793402532705
"KremsWachtberg_01_02","KremsWachtberg",9,49,5.4,369,80,123,300,3,2,16,32,33.3,67,2.1,5.3,58,4.1,45,1.3,43,0.3,-0.9,1.9334639806502
"KremsWachtberg_01_03","KremsWachtberg",6,30,5,157,71,71,221,4,3,14.3,47,15.8,52,1.1,4.9,80,1.6,26,3,60,-0.1,0.4,1.95565043798872
"KremsWachtberg_01_04","KremsWachtberg",4,14,3.5,54,78,36,150,3,2,3.9,27,10.8,76,2.8,2.5,61,2.1,52,1.2,68,0.1,0,2.01085962671928
"KremsWachtberg_01_05","KremsWachtberg",6,25,4.2,124,73,60,206,2,2,5.4,21,20.1,80,3.8,2.5,41,3.9,64,0.6,46,-0.1,-1.1,1.93937168312325
"KremsWachtberg_01_06","KremsWachtberg",6,25,4.2,127,78,61,208,3,3,14.2,56,10.9,43,0.8,3,50,3.5,57,0.9,69,-0.1,-0.4,1.93790377841162
"KremsWachtberg_01_07","KremsWachtberg",5,23,4.6,99,68,58,170,3,2,5.6,24,18.3,79,3.3,2.7,54,2.5,50,1.1,46,0.1,-0.6,1.92881862750843
"KremsWachtberg_01_08","KremsWachtberg",4,27,6.8,110,75,63,174,2,1,4.4,16,23.5,86,5.4,1.1,26,3.9,96,0.3,36,-0.3,-0.9,1.97139327147218
"KremsWachtberg_01_09","KremsWachtberg",12,37,3.1,361,77,93,388,3,2,10.4,27,27.5,74,2.7,5.9,49,6.5,53,0.9,55,-0.3,-2,1.92170085878441
"KremsWachtberg_01_10","KremsWachtberg",16,85,5.3,1075,83,201,534,1,3,40.4,47,44.7,52,1.1,3.2,19,13.1,81,0.2,43,-1.3,-2,1.90049841218042
"KremsWachtberg_02_01","KremsWachtberg",18,60,3.3,798,70,145,550,4,3,25.6,42,35.1,58,1.4,12.6,69,5.9,32,2.1,56,0.8,-1.8,1.98056816900853
"KremsWachtberg_02_02","KremsWachtberg",27,59,2.2,1114,65,154,723,3,2,16.9,28,42.2,71,2.5,11.5,42,15.6,57,0.7,62,0.6,-3,2.03577707446022
"KremsWachtberg_02_03","KremsWachtberg",13,61,4.7,650,73,141,460,4,3,36.7,60,24.9,40,0.7,9.7,74,4.2,32,2.3,67,0.6,0.4,1.93918281924209
"Milovice1_01_01","Milovice1",6,40,6.7,197,80,89,221,4,4,24.4,60,16.3,40,0.7,4,66,2.1,34,1.9,52,0.1,0.1,1.87716186065497
"Milovice1_01_02","Milovice1",6,33,5.5,169,80,73,231,4,3,14.5,43,18.5,56,1.3,3.8,63,2.4,40,1.6,52,0.2,-0.1,1.99897782994822
"Milovice1_01_03","Milovice1",5,40,8,179,79,88,203,3,3,22.4,55,17.7,44,0.8,2.2,44,3.3,65,0.7,46,-0.1,0,1.86799836850603
"Milovice1_01_04","Milovice1",4,21,5.2,82,77,50,164,3,3,12.2,58,9.6,45,0.8,2.6,64,2.1,53,1.2,68,0,0.1,1.88765210734232
"Milovice1_01_05","Milovice1",6,41,6.8,200,79,91,219,4,2,15.3,37,25.8,62,1.7,3.9,65,2.1,34,1.9,39,-0.1,0,1.87910623418576
"Milovice1_01_06","Milovice1",6,41,6.8,210,80,92,228,2,3,21,51,20.5,50,1,2.1,34,4.2,70,0.5,46,-0.5,0,1.88494788987861
"Milovice1_01_07","Milovice1",5,28,5.6,113,74,65,173,3,2,10.3,36,18.4,65,1.8,2.4,47,2.8,55,0.8,44,-0.2,0,1.96926513397318
"Milovice1_02_01","Milovice1",14,37,2.6,406,64,101,401,2,2,10,27,27.6,74,2.8,3.7,26,11,78,0.3,55,-1.1,-2.3,1.98891680423272
"Milovice1_02_02","Milovice1",8,25,3.1,132,63,61,216,3,3,11.7,46,13.8,55,1.2,4.4,54,3.7,45,1.2,59,-0.2,-0.3,1.96304957694255
"Milovice1_02_03","Milovice1",5,16,3.2,60,64,41,146,3,3,7.4,46,9.5,59,1.3,3.1,62,2.4,47,1.3,61,-0.1,-0.2,2.02499200185174
"Milovice1_02_04","Milovice1",19,67,3.5,957,74,155,617,4,3,33.4,49,33.7,50,1,11.8,61,7.3,38,1.6,58,0.5,-1.3,1.97455192381795
"Milovice1_02_05","Milovice1",17,61,3.6,807,75,150,538,3,3,30.4,49,31.1,51,1,9.2,53,8.2,48,1.1,65,0.2,-1.3,1.9616529139325
"Milovice1_02_06","Milovice1",16,88,5.5,1120,80,206,543,3,3,36.4,41,51.8,58,1.4,9.2,57,7.3,45,1.3,40,-0.8,-2.8,1.89698149858629
"Milovice1_03_01","Milovice1",8,37,4.6,242,71,88,275,3,2,11,29,26.4,71,2.4,4.5,55,4.5,55,1,38,-0.1,-1.9,1.86524562596827
"Milovice1_03_02","Milovice1",12,46,3.8,407,67,106,383,3,2,12.1,26,34.8,75,2.9,5.8,48,6.9,57,0.8,36,-0.2,-2.9,1.91774940302678
"Milovice1_03_03","Milovice1",4,17,4.2,58,73,41,141,4,2,5.5,32,11.7,69,2.2,2.9,71,1.7,41,1.7,50,0.1,-0.5,2.01457791600845
"Milovice1_03_04","Milovice1",6,22,3.7,106,68,54,196,3,3,11,49,11.9,54,1.1,2.9,47,3.6,59,0.8,52,-0.2,-0.6,1.92165403115327
"Milovice1_03_05","Milovice1",9,40,4.4,222,60,91,243,4,2,13,32,27.1,67,2.1,5.9,65,3.1,34,1.9,23,0.3,-2.4,1.86440995297806
"Milovice1_03_06","Milovice1",10,45,4.5,320,65,108,296,3,2,11,24,34.5,76,3.1,5.7,56,5,50,1.1,32,0.2,-2.3,1.88747049349294
"Milovice1_03_07","Milovice1",5,16,3.2,60,71,39,153,3,3,8.1,50,8.5,53,1,2.6,51,2.4,48,1.1,69,0,-0.1,2.03871790806404
"Milovice1_03_08","Milovice1",5,24,4.8,103,73,55,187,3,3,9.7,40,14.4,59,1.5,2.7,53,3.3,66,0.8,57,0,0.2,1.90722118148275
"Milovice1_03_09","Milovice1",6,22,3.7,89,65,51,174,3,2,8.2,37,13.9,63,1.7,3.3,54,2.9,47,1.1,48,-0.1,-0.4,1.91518434835
"Milovice1_03_10","Milovice1",12,52,4.3,450,64,120,375,3,3,21.2,40,31,59,1.5,6.8,56,6.1,51,1.1,38,-0.1,-1.7,1.92255222545583
"Pavlov1_01_01","Pavlov1",5,20,4,74,67,48,154,5,3,11,54,9.8,49,0.9,4.9,97,0.4,7,12.9,49,0.5,0.1,1.94407234786433
"Pavlov1_01_02","Pavlov1",5,18,3.6,73,66,44,165,4,3,9.8,54,8.4,46,0.9,4.7,94,0.7,14,6.7,51,0.1,-0.8,1.97353886669153
"Pavlov1_01_03","Pavlov1",4,16,4,55,70,37,148,2,4,10.4,64,5.9,36,0.6,1.1,28,3.6,91,0.3,80,-0.3,0.7,1.93146445390132
"Pavlov1_01_04","Pavlov1",5,20,4,80,69,47,170,2,4,12.7,63,7.8,38,0.6,1.5,29,4,79,0.4,75,-0.3,0.5,1.95925668583421
"Pavlov1_01_05","Pavlov1",5,26,5.2,102,65,61,167,1,3,11.8,45,14.6,56,1.2,0,0,5.2,103,0,41,-0.4,-0.5,2.03568458586415
"Pavlov1_01_06","Pavlov1",8,27,3.4,187,70,69,271,4,3,12.4,45,15.6,57,1.3,7.3,91,1.6,19,4.6,58,0.3,-0.8,1.92341673605958
"Pavlov1_01_07","Pavlov1",5,26,5.2,105,75,61,172,5,2,10.3,39,16.6,63,1.6,4.8,96,0.6,11,8.1,39,0.4,-0.4,1.8928067752644
"Pavlov1_01_08","Pavlov1",4,18,4.5,65,76,42,154,5,4,11.1,61,7.1,39,0.6,4.2,104,0.5,12,8.6,64,0.2,0.1,1.92684088102835
"Pavlov1_02_01","Pavlov1",6,22,3.7,104,71,53,196,1,3,12,54,10.8,48,0.9,0.7,12,5.7,94,0.1,62,-0.7,0.2,1.90244874612379
"Pavlov1_02_02","Pavlov1",7,27,3.9,146,73,65,224,1,3,14.1,52,13.1,48,0.9,1.3,18,5.9,84,0.2,54,-0.2,-0.5,1.91586145376383
"Pavlov1_02_03","Pavlov1",5,17,3.4,69,63,44,156,2,3,9.3,54,8.6,50,0.9,0.6,12,4.7,94,0.1,55,-0.2,-0.3,2.00939241712906
"Pavlov1_02_04","Pavlov1",5,16,3.2,63,70,41,153,5,2,5.8,36,10.8,67,1.9,4.5,89,0.6,12,6.9,60,0.3,0.1,1.98737697993821
"Pavlov1_02_05","Pavlov1",6,23,3.8,106,70,55,192,5,3,11.4,49,11.9,51,1,5.6,94,0.6,9,10.1,49,0.5,-0.5,1.89924281544447
"Pavlov1_03_01","Pavlov1",8,48,6,300,65,112,267,3,4,31.3,65,17.2,35,0.5,3.5,43,4.8,60,0.7,42,-0.2,-0.4,1.90851324572665
"Pavlov1_03_02","Pavlov1",9,39,4.3,283,71,95,297,4,3,22.5,57,16.5,42,0.7,6.4,70,3.5,38,1.8,64,0.1,0,1.96342037146164
"Pavlov1_04_01","Pavlov1",9,55,6.1,390,72,131,297,5,2,19.1,34,36.1,65,1.9,8.1,89,1.5,16,5.5,33,0.5,-2.4,1.9186957043361
"Pavlov1_05_01","Pavlov1",6,30,5,145,71,69,210,4,3,15.7,52,14.4,47,0.9,4.7,77,1.8,30,2.5,49,0.1,-0.6,1.99974541663798
"Pavlov1_05_02","Pavlov1",5,20,4,80,65,51,156,1,3,11.1,55,9.2,46,0.8,1.1,21,4.7,94,0.2,54,-0.4,0.1,1.90957861014479
"Pavlov1_05_03","Pavlov1",5,19,3.8,76,66,46,165,4,3,9.5,50,10.1,53,1.1,4.4,87,1.2,24,3.6,56,0.3,0.2,1.90926200307222
"Pavlov1_05_04","Pavlov1",5,18,3.6,74,70,44,168,4,2,7.1,39,11.5,64,1.6,4.3,85,1.1,21,4,53,0.3,-0.2,1.90005920578687
"Pavlov1_05_05","Pavlov1",5,20,4,88,71,49,179,1,3,10.8,54,9.2,46,0.9,0.7,13,5.2,103,0.1,62,-0.5,-0.1,1.91401162444979
"Pavlov1_05_06","Pavlov1",5,19,3.8,79,68,46,171,4,3,9.3,49,10.2,53,1.1,4.4,87,1.3,25,3.4,63,0.5,-0.2,1.90835338367363
"Pavlov1_05_07","Pavlov1",4,19,4.8,68,71,44,154,5,3,10.5,55,8.7,45,0.8,4.3,106,0.5,13,8,58,0.3,-0.1,1.88708669165448
"Pavlov1_05_08","Pavlov1",7,22,3.1,117,73,55,212,2,4,15.2,69,7.4,33,0.5,1.5,21,5.6,79,0.3,88,-0.5,0.5,1.93701735219603
"Pavlov1_05_09","Pavlov1",4,16,4,55,64,39,141,5,3,8.9,55,7.3,45,0.8,4.4,110,0.4,9,11.6,69,0.2,0.5,2.01992888086949
"Pavlov1_05_10","Pavlov1",4,15,3.8,57,67,41,139,1,3,8.5,56,7.5,49,0.9,0.5,11,4.3,106,0.1,75,-0.2,0.5,2.01702756761339
"Pavlov1_05_11","Pavlov1",5,17,3.4,67,70,42,159,5,2,5.6,33,12.1,71,2.1,4.8,96,0.3,6,15.8,45,0.3,-0.6,2.04531365973498
"Pavlov1_05_12","Pavlov1",6,26,4.3,129,72,61,211,2,4,18.8,72,7.3,27,0.4,1.2,20,5.2,86,0.2,113,-0.5,1.4,1.93218956619711
"Pavlov1_05_13","Pavlov1",6,21,3.5,98,67,52,188,4,3,10.5,50,11.4,54,1.1,4.9,81,1.4,22,3.6,56,0.4,-0.2,1.92572661657953
"Pavlov1_05_14","Pavlov1",7,23,3.3,115,68,57,201,5,3,12.1,52,11.3,49,0.9,5.7,81,1.4,19,4.2,61,0.4,-0.2,1.94008537520625
"Pavlov1_05_15","Pavlov1",5,23,4.6,89,68,53,167,5,3,12.7,55,11,47,0.9,4.9,97,0.5,9,10.7,43,0.5,-0.6,1.89783031335004
"Pavlov1_05_16","Pavlov1",8,23,2.9,132,70,57,231,5,3,10.9,47,12.4,54,1.1,7,87,1,12,7.1,59,0.7,-0.2,1.96135460484436
"Pavlov1_05_17","Pavlov1",5,15,3,60,72,38,157,4,2,4.7,31,10.7,71,2.3,3.5,70,1.6,32,2.2,67,0.2,-0.2,2.0154491039756
"Pavlov1_05_18","Pavlov1",5,17,3.4,79,73,42,188,4,2,6.3,37,11.2,66,1.8,4.7,94,1.2,24,3.9,61,0.2,-0.2,2.04550766011183
"Pavlov1_05_19","Pavlov1",8,28,3.5,174,67,68,255,1,3,15.5,55,12.9,46,0.8,1.3,16,7.6,95,0.2,62,-0.7,0.5,1.97994581331827
"Pavlov1_05_20","Pavlov1",8,28,3.5,186,69,70,265,2,4,17.5,62,11.3,40,0.6,2.1,25,6.9,85,0.3,79,-0.8,0.3,1.98140638604638
"Pavlov1_05_21","Pavlov1",5,19,3.8,70,60,46,152,4,2,7.3,38,12.1,63,1.7,4.6,91,0.8,16,5.5,53,0.5,-0.2,1.91418483040094
"Pavlov1_05_22","Pavlov1",7,29,4.1,163,65,70,232,1,4,18.5,63,10.6,36,0.6,0,0,7.9,112,0,64,-0.8,0.9,1.96379703470901
"Pavlov1_05_23","Pavlov1",5,20,4,81,72,49,165,4,3,8.2,41,12.4,61,1.5,3.7,73,1.5,29,2.5,50,0.2,-0.2,1.89292408542162
"Pavlov1_05_24","Pavlov1",5,20,4,88,72,50,176,2,4,14.6,72,6.4,32,0.4,1.4,27,4.2,83,0.3,99,-0.3,0.6,1.90398246017973
"Pavlov1_05_25","Pavlov1",6,19,3.2,74,60,46,160,4,2,6.4,33,12.6,66,2,4,67,2,33,2,54,0.5,-0.5,1.92295023706153
"Pavlov1_05_26","Pavlov1",5,19,3.8,81,73,46,176,2,4,13,68,6.6,34,0.5,1.2,24,4.4,88,0.3,79,-0.5,0.5,1.90150600949619
"Pavlov1_06_01","Pavlov1",6,20,3.3,97,74,48,202,4,2,7.4,36,12.9,64,1.8,4.3,70,2.2,36,1.9,57,0.2,-0.1,1.95201944226184
"Pavlov1_06_02","Pavlov1",5,21,4.2,86,65,52,165,5,2,6.3,29,15.3,72,2.4,5.3,105,0.5,10,10.2,43,0.6,-0.8,1.935972540429
"Pavlov1_06_03","Pavlov1",6,26,4.3,117,69,60,195,4,2,7.5,28,18.6,71,2.5,5,82,1.3,21,3.8,45,0.5,-0.6,1.94752379587959
"Pavlov1_06_04","Pavlov1",7,26,3.7,143,71,62,230,2,3,11.6,44,15.1,58,1.3,2.1,30,5,71,0.4,59,-0.3,-0.5,1.97423509992376
"Pavlov1_06_05","Pavlov1",6,22,3.7,111,75,54,205,1,4,15.9,72,6.8,31,0.4,0.9,15,5.5,92,0.2,90,-0.5,0.6,1.94873858223387
"Pavlov1_06_06","Pavlov1",7,21,3,119,64,56,212,3,3,13,61,8.9,42,0.7,2.5,35,4.7,67,0.5,63,-0.1,-0.7,1.97800711603104
